"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test to ensure non-admin users cannot edit configuration settings.
    This test is parametrized for 2 random rows per sheet.
    ","58214","test_edit_non_admin[Common, Task -> Task Penetrating Chain:Hidden Fields]","Common, Task -> Task Penetrating Chain","2026-01-03","failed","2026-01-03","Hidden Fields","edit_non_admin","",""
"
    Test to ensure non-admin users cannot edit configuration settings.
    This test is parametrized for 2 random rows per sheet.
    ","61016","test_edit_non_admin[Metrics -> On-Time Delivery Drilldown:Column Order]","Metrics -> On-Time Delivery Drilldown","2026-01-03","failed","2026-01-03","Column Order","edit_non_admin","",""
"","25652","test_view[Buffer Management:Rollup Duration]","Buffer Management","2026-01-04","passed","2026-01-04","Rollup Duration","view","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","45758","test_context_retention[Project Mgr -> Search Columns for TLP by TaskMgr:RESOURCE_NOTES]","Project Mgr -> Search Columns for TLP by TaskMgr","2026-01-03","failed","2026-01-03","RESOURCE_NOTES","context_retention","",""
"","31394","test_view[Project Mgr -> Modify Projects:Bulk Project Upload]","Project Mgr -> Modify Projects","2026-01-04","passed","2026-01-04","Bulk Project Upload","view","",""
"","58503","test_view[Common, Checklist -> Full Kit Task Custom Text Fields:Sort Order]","Common, Checklist -> Full Kit Task Custom Text Fields","2026-01-04","failed","2026-01-04","Sort Order","view","",""
"","55838","test_update[Alerts:Number of Retries with Minimum Delay]","Alerts","2026-01-02","passed","2026-01-02","Number of Retries with Minimum Delay","edit","",""
"","62602","test_update[Common -> Column Names:Subtask Text 7 (Custom Subtask Text Field)]","Common -> Column Names","2026-01-03","failed","2026-01-03","Subtask Text 7 (Custom Subtask Text Field)","edit","",""
"
    Test to ensure non-admin users cannot edit configuration settings.
    This test is parametrized for 2 random rows per sheet.
    ","70187","test_edit_non_admin[Executive -> Red Projects:Sort Order]","Executive -> Red Projects","2026-01-03","failed","2026-01-03","Sort Order","edit_non_admin","",""
"","58644","test_view[Common -> Column Names:Project Manager]","Common -> Column Names","2026-01-04","passed","2026-01-04","Project Manager","view","",""
"","48906","test_update[Common -> Column Names:Planned Finish Constraint]","Common -> Column Names","2026-01-03","failed","2026-01-03","Planned Finish Constraint","edit","",""
"","74912","test_view[Common -> Column Names:Task Text 9 (Custom Task Text Field)]","Common -> Column Names","2026-01-04","failed","2026-01-04","Task Text 9 (Custom Task Text Field)","view","",""
"","86939","test_update[Buffer Diagnostics:Committed, In Queue]","Buffer Diagnostics","2026-01-03","passed","2026-01-03","Committed, In Queue","edit","",""
"","55313","test_update[Common -> Column Names:Task Date 12  (Custom Task Date Field)]","Common -> Column Names","2026-01-03","failed","2026-01-03","Task Date 12  (Custom Task Date Field)","edit","",""
"","62351","test_update[Common -> Filter Names:Chart Type]","Common -> Filter Names","2026-01-03","passed","2026-01-03","Chart Type","edit","",""
"","64135","test_update[Project Mgr -> Modify Projects:On Hold]","Project Mgr -> Modify Projects","2026-01-03","passed","2026-01-03","On Hold","edit","",""
"","59775","test_view[Project Mgr -> Project Status:Show Team Members in Project Manager Filter]","Project Mgr -> Project Status","2026-01-05","passed","2026-01-05","Show Team Members in Project Manager Filter","view","",""
"","94508","test_update[Common -> Filter Names:Show Data Through]","Common -> Filter Names","2026-01-03","failed","2026-01-03","Show Data Through","edit","",""
"","63522","test_view[Metrics -> On-Time Delivery:Display Project List In Print Preview]","Metrics -> On-Time Delivery","2026-01-04","passed","2026-01-04","Display Project List In Print Preview","view","",""
"","33989","test_update[Common -> Column Names:Project Participants]","Common -> Column Names","2026-01-03","passed","2026-01-03","Project Participants","edit","",""
"","70481","test_update[Common -> Filter Names:Display Past Periods]","Common -> Filter Names","2026-01-03","passed","2026-01-03","Display Past Periods","edit","",""
"","89356","test_view[Project Mgr -> Search Columns for TLP by Project:MSP_TASK_ID]","Project Mgr -> Search Columns for TLP by Project","2026-01-05","failed","2026-01-05","MSP_TASK_ID","view","",""
"","28604","test_view[Common -> Column Names:SNET Date]","Common -> Column Names","2026-01-04","passed","2026-01-04","SNET Date","view","",""
"","85009","test_update[Planning Client -> Adv. Filter Field Mapping:Task Number 28  (Custom Task Number Field)]","Planning Client -> Adv. Filter Field Mapping","2026-01-04","failed","2026-01-04","Task Number 28  (Custom Task Number Field)","edit","",""
"","28289","test_view[Common -> Column Names:Custom Date 1 Delay]","Common -> Column Names","2026-01-04","passed","2026-01-04","Custom Date 1 Delay","view","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","63364","test_context_retention[Checklist Integration -> Common:Allow Modify Last update date]","Checklist Integration -> Common","2026-01-03","passed","2026-01-03","Allow Modify Last update date","context_retention","",""
"","26305","test_view[Common, Task -> Task Incomplete Predecessors:Hidden Fields (Print)]","Common, Task -> Task Incomplete Predecessors","2026-01-04","failed","2026-01-04","Hidden Fields (Print)","view","",""
"","135685","test_update[Common, Task -> Custom Task Text Fields Checklist:Text5]","Common, Task -> Custom Task Text Fields Checklist","2026-01-04","failed","2026-01-04","Text5","edit","",""
"","65693","test_view[Project Mgr -> Search Columns for TLP by Project:RESOURCE_NOTES]","Project Mgr -> Search Columns for TLP by Project","2026-01-05","failed","2026-01-05","RESOURCE_NOTES","view","",""
"
    Test to ensure non-admin users cannot edit configuration settings.
    This test is parametrized for 2 random rows per sheet.
    ","69671","test_edit_non_admin[Executive -> Stuck Task List:Hidden Fields]","Executive -> Stuck Task List","2026-01-03","failed","2026-01-03","Hidden Fields","edit_non_admin","",""
"","59205","test_view[Buffer Pen/%Complete Graph:Red Y intercept at 100 X1]","Buffer Pen/%Complete Graph","2026-01-04","failed","2026-01-04","Red Y intercept at 100 X","view","",""
"","51783","test_update[Metrics -> Pipelining:WIP Limit]","Metrics -> Pipelining","2026-01-04","passed","2026-01-04","WIP Limit","edit","",""
"","32998","test_view[Planning Client -> Adv. Filter Field Mapping:Task Text 41  (Custom Task Text Field)]","Planning Client -> Adv. Filter Field Mapping","2026-01-04","passed","2026-01-04","Task Text 41  (Custom Task Text Field)","view","",""
"","51451","test_update[Resource Mgr -> Resource L:C:Automatically Load Resource L:C Report]","Resource Mgr -> Resource L:C","2026-01-03","failed","2026-01-03","Automatically Load Resource L:C Report","edit","",""
"","73879","test_update[Planning Client -> Import Field Mapping:Duration]","Planning Client -> Import Field Mapping","2026-01-04","failed","2026-01-04","Duration","edit","",""
"","45892","test_view[Common -> Column Names:Past Months (%)]","Common -> Column Names","2026-01-04","passed","2026-01-04","Past Months (%)","view","",""
"","31012","test_view[Buffer Management:Rollup Resources]","Buffer Management","2026-01-04","passed","2026-01-04","Rollup Resources","view","",""
"","49377","test_view[Common -> Filter Names:Resource Manager]","Common -> Filter Names","2026-01-04","passed","2026-01-04","Resource Manager","view","",""
"","72002","test_update[Common -> Column Names:Dependency Level]","Common -> Column Names","2026-01-03","failed","2026-01-03","Dependency Level","edit","",""
"","72870","test_update[Common -> Filter Names:CANCELLED(CAN)]","Common -> Filter Names","2026-01-03","passed","2026-01-03","CANCELLED(CAN)","edit","",""
"","104769","test_update[Metrics -> Issue Resolution:Complete]","Metrics -> Issue Resolution","2026-01-04","passed","2026-01-04","Complete","edit","",""
"","48289","test_view[Executive -> Project Status:Display In Results Pane]","Executive -> Project Status","2026-01-04","passed","2026-01-04","Display In Results Pane","view","",""
"","143914","test_update[Task Mgr -> Task List -> Search Columns for Task Table:CUSTOM_TASK_TEXT2]","Task Mgr -> Task List -> Search Columns for Task Table","2026-01-04","failed","2026-01-04","CUSTOM_TASK_TEXT2","edit","",""
"","48510","test_update[Common -> Filter Names:Milestones]","Common -> Filter Names","2026-01-03","failed","2026-01-03","Milestones","edit","",""
"","60142","test_update[Common -> Filter Names:Resources]","Common -> Filter Names","2026-01-03","failed","2026-01-03","Resources","edit","",""
"","5132","test_update[Bulk Import:Email To]","Bulk Import","2026-01-03","broken","2026-01-03","Email To","edit","",""
"","74037","test_view[Common -> Column Names:Activity Priority Code]","Common -> Column Names","2026-01-04","failed","2026-01-04","Activity Priority Code","view","",""
"","109407","test_update[Server:Font Char Set]","Server","2026-01-04","failed","2026-01-04","Font Char Set","edit","",""
"","36174","test_view[Common -> Filter Names:On Hold (OH)]","Common -> Filter Names","2026-01-04","failed","2026-01-04","On Hold (OH)","view","",""
"","64306","test_update[Project Mgr -> Milestone Report -> Search Columns for Milestone Report:SUBJECT]","Project Mgr -> Milestone Report -> Search Columns for Milestone Report","2026-01-03","passed","2026-01-03","SUBJECT","edit","",""
"","75614","test_update[Common -> Header Names:Resources]","Common -> Header Names","2026-01-04","failed","2026-01-04","Resources","edit","",""
"","82574","test_update[Bulk Import:Email Subject]","Bulk Import","2026-01-03","passed","2026-01-03","Email Subject","edit","",""
"
    Test negative update queries for 2 randomly picked rows from the Excel sheet per sheet.
    Generates an invalid update command and expects the LLM to respond with an error or correction.
    ","79468","test_negative_update[Metrics -> Throughput:Project Unit]","Metrics -> Throughput","2026-01-03","failed","2026-01-03","Project Unit","negative_update","",""
"","42425","test_update[Common -> Column Names:Task Text 36  (Custom Task Text Field)]","Common -> Column Names","2026-01-03","passed","2026-01-03","Task Text 36  (Custom Task Text Field)","edit","",""
"","64174","test_view[Metrics -> Actual Delay:Display Project List In Print Preview]","Metrics -> Actual Delay","2026-01-04","passed","2026-01-04","Display Project List In Print Preview","view","",""
"","127677","test_update[Application -> Concerto Pipeline:Scheduling bucket size]","Application -> Concerto Pipeline","2026-01-03","failed","2026-01-03","Scheduling bucket size","edit","",""
"","56903","test_update[Task List -> Common:Sort Order]","Task List -> Common","2026-01-04","passed","2026-01-04","Sort Order","edit","",""
"","66383","test_update[Common, Task -> Custom Task Text Fields:Custom Task Text Field 2]","Common, Task -> Custom Task Text Fields","2026-01-04","passed","2026-01-04","Custom Task Text Field 2","edit","",""
"","37112","test_update[Server:Task Update Tracing]","Server","2026-01-04","passed","2026-01-04","Task Update Tracing","edit","",""
"","47364","test_view[Common -> Filter Names:IP]","Common -> Filter Names","2026-01-04","failed","2026-01-04","IP","view","",""
"
    Test negative update queries for 2 randomly picked rows from the Excel sheet per sheet.
    Generates an invalid update command and expects the LLM to respond with an error or correction.
    ","28091","test_negative_update[Application -> Concerto Critical Chain:Custom Text Checklist Tag]","Application -> Concerto Critical Chain","2026-01-03","failed","2026-01-03","Custom Text Checklist Tag","negative_update","",""
"
    Test negative update queries for 2 randomly picked rows from the Excel sheet per sheet.
    Generates an invalid update command and expects the LLM to respond with an error or correction.
    ","58988","test_negative_update[Metrics -> Actual Delay Drilldown:Hidden Fields]","Metrics -> Actual Delay Drilldown","2026-01-03","failed","2026-01-03","Hidden Fields","negative_update","",""
"","30476","test_view[Project Mgr -> Project Control:Internal Milestones]","Project Mgr -> Project Control","2026-01-04","failed","2026-01-04","Internal Milestones","view","",""
"","99326","test_view[Common, Task -> Custom Task Text Fields:Custom Task Text Field 5]","Common, Task -> Custom Task Text Fields","2026-01-04","passed","2026-01-04","Custom Task Text Field 5","view","",""
"","62221","test_update[Common -> Filter Names:Issue Type]","Common -> Filter Names","2026-01-03","passed","2026-01-03","Issue Type","edit","",""
"","52172","test_view[Project Mgr -> Milestone Report -> Search Columns for Milestone Report:TASK_DESCRIPTION]","Project Mgr -> Milestone Report -> Search Columns for Milestone Report","2026-01-04","failed","2026-01-04","TASK_DESCRIPTION","view","",""
"","52548","test_view[Project Mgr -> Task Level Priorities By Task Mgr:Show Team Members in Task Manager Filter]","Project Mgr -> Task Level Priorities By Task Mgr","2026-01-05","failed","2026-01-05","Show Team Members in Task Manager Filter","view","",""
"","63989","test_update[Project Mgr -> Pipeline View:Default Horizon]","Project Mgr -> Pipeline View","2026-01-03","passed","2026-01-03","Default Horizon","edit","",""
"","47108","test_view[Project Mgr -> Milestone Report -> Search Columns for Milestone Report:PROJECT_NAME]","Project Mgr -> Milestone Report -> Search Columns for Milestone Report","2026-01-04","failed","2026-01-04","PROJECT_NAME","view","",""
"","21265","test_update[Checklist Integration -> Fields Mapping for Checklist:Checklist Status]","Checklist Integration -> Fields Mapping for Checklist","2026-01-03","failed","2026-01-03","Checklist Status","edit","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","74720","test_context_retention[Advanced Concerto Enterprise Modules:Enable SAP Integration]","Advanced Concerto Enterprise Modules","2026-01-02","passed","2026-01-02","Enable SAP Integration","context_retention","",""
"","38254","test_update[Common -> Filter Names:Help Needed]","Common -> Filter Names","2026-01-03","passed","2026-01-03","Help Needed","edit","",""
"
    Test negative update queries for 2 randomly picked rows from the Excel sheet per sheet.
    Generates an invalid update command and expects the LLM to respond with an error or correction.
    ","63127","test_negative_update[Admin -> Edit Project Info:Column Order]","Admin -> Edit Project Info","2026-01-03","failed","2026-01-03","Column Order","negative_update","",""
"","46342","test_update[Common -> Column Names:Maximum Units]","Common -> Column Names","2026-01-03","passed","2026-01-03","Maximum Units","edit","",""
"","46088","test_view[Integration -> Task:Timeout]","Integration -> Task","2026-01-04","failed","2026-01-04","Timeout","view","",""
"","78365","test_view[Project Mgr -> Milestone Report -> Search Columns for Milestone Report:SUBJECT]","Project Mgr -> Milestone Report -> Search Columns for Milestone Report","2026-01-04","failed","2026-01-04","SUBJECT","view","",""
"","19891","test_view[Common -> Header Names:Priority Inheritance]","Common -> Header Names","2026-01-04","passed","2026-01-04","Priority Inheritance","view","",""
"","44670","test_view[Common -> Filter Names:Tasks]","Common -> Filter Names","2026-01-04","passed","2026-01-04","Tasks","view","",""
"
    Test negative update queries for 2 randomly picked rows from the Excel sheet per sheet.
    Generates an invalid update command and expects the LLM to respond with an error or correction.
    ","61955","test_negative_update[Project Mgr -> Search Columns for TLP by TaskMgr:RESOURCE_NOTES]","Project Mgr -> Search Columns for TLP by TaskMgr","2026-01-03","failed","2026-01-03","RESOURCE_NOTES","negative_update","",""
"","102064","test_view[Common -> Column Names:Task Text 68  (Custom Task Text Field)]","Common -> Column Names","2026-01-04","failed","2026-01-04","Task Text 68  (Custom Task Text Field)","view","",""
"","47253","test_update[Project Mgr -> Project Status:Print Font Size]","Project Mgr -> Project Status","2026-01-03","failed","2026-01-03","Print Font Size","edit","",""
"","24699","test_view[Common:Enable Task Update History]","Common","2026-01-04","passed","2026-01-04","Enable Task Update History","view","",""
"","33623","test_view[Planning Client -> Common:Insert feeding buffer]","Planning Client -> Common","2026-01-04","passed","2026-01-04","Insert feeding buffer","view","",""
"","61894","test_update[Common -> Column Names:Subtask Actual Start]","Common -> Column Names","2026-01-03","failed","2026-01-03","Subtask Actual Start","edit","",""
"","48678","test_view[Buffer Pen/%Complete Graph:Yellow Y intercept at 0 X0]","Buffer Pen/%Complete Graph","2026-01-04","failed","2026-01-04","Yellow Y intercept at 0 X","view","",""
"","69819","test_update[Resource Mgr -> Resource L:C:Default Horizon]","Resource Mgr -> Resource L:C","2026-01-03","passed","2026-01-03","Default Horizon","edit","",""
"","40875","test_update[Common -> Filter Names:End of Yesterday]","Common -> Filter Names","2026-01-03","passed","2026-01-03","End of Yesterday","edit","",""
"","74497","test_update[Planning Client -> Adv. Filter Field Mapping:Task Text61  (Custom Task Text Field)]","Planning Client -> Adv. Filter Field Mapping","2026-01-04","passed","2026-01-04","Task Text61  (Custom Task Text Field)","edit","",""
"","21376","test_view[Common -> Column Names:Task Text 70  (Custom Task Text Field)]","Common -> Column Names","2026-01-04","passed","2026-01-04","Task Text 70  (Custom Task Text Field)","view","",""
"","42225","test_view[Executive -> Stuck Task List:Hidden Fields]","Executive -> Stuck Task List","2026-01-04","passed","2026-01-04","Hidden Fields","view","",""
"","34883","test_view[Common -> Column Names:MS Project Identifier (Penetrating Task)]","Common -> Column Names","2026-01-04","passed","2026-01-04","MS Project Identifier (Penetrating Task)","view","",""
"","29958","test_view[Common -> Column Names:Date Resolved]","Common -> Column Names","2026-01-04","passed","2026-01-04","Date Resolved","view","",""
"","22260","test_view[Executive -> Stuck Task List:Number of tasks displayed in the widget.]","Executive -> Stuck Task List","2026-01-04","passed","2026-01-04","Number of tasks displayed in the widget.","view","",""
"
    Test to ensure non-admin users cannot edit configuration settings.
    This test is parametrized for 2 random rows per sheet.
    ","64223","test_edit_non_admin[Metrics -> Full Kit Delay:Filters Available]","Metrics -> Full Kit Delay","2026-01-03","passed","2026-01-03","Filters Available","edit_non_admin","",""
"","110301","test_update[Common, Task -> Custom Task Text Fields:Custom Task Text Field 9]","Common, Task -> Custom Task Text Fields","2026-01-04","failed","2026-01-04","Custom Task Text Field 9","edit","",""
"","32423","test_view[Integration -> Subtask:StreamName]","Integration -> Subtask","2026-01-04","passed","2026-01-04","StreamName","view","",""
"","69310","test_update[Common -> Filter Names:Late]","Common -> Filter Names","2026-01-03","passed","2026-01-03","Late","edit","",""
"","45476","test_update[Common -> Column Names:Date2 (for Full Kit Task Checklist)]","Common -> Column Names","2026-01-03","passed","2026-01-03","Date2 (for Full Kit Task Checklist)","edit","",""
"","43129","test_update[Gate Reports:Include Past Help Needed]","Gate Reports","2026-01-04","passed","2026-01-04","Include Past Help Needed","edit","",""
"","29781","test_view[Integration -> Task:TaskResources]","Integration -> Task","2026-01-04","passed","2026-01-04","TaskResources","view","",""
"","69943","test_update[Planning Client -> Common:Default Rollup option for Batch Rollup]","Planning Client -> Common","2026-01-04","passed","2026-01-04","Default Rollup option for Batch Rollup","edit","",""
"","57096","test_update[Integration -> Primavera:Port]","Integration -> Primavera","2026-01-04","failed","2026-01-04","Port","edit","",""
"","66785","test_update[Common -> Header Names:Successors]","Common -> Header Names","2026-01-04","failed","2026-01-04","Successors","edit","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","68381","test_context_retention[Metrics -> On-Time Delivery Drilldown:Column Order]","Metrics -> On-Time Delivery Drilldown","2026-01-03","failed","2026-01-03","Column Order","context_retention","",""
"","40985","test_view[Common, Checklist -> Task:Sort Order]","Common, Checklist -> Task","2026-01-04","passed","2026-01-04","Sort Order","view","",""
"
    Test negative update queries for 2 randomly picked rows from the Excel sheet per sheet.
    Generates an invalid update command and expects the LLM to respond with an error or correction.
    ","65615","test_negative_update[Project Mgr -> Search Columns for TLP by Resource:TASKUNIQUEID]","Project Mgr -> Search Columns for TLP by Resource","2026-01-03","failed","2026-01-03","TASKUNIQUEID","negative_update","",""
"","38461","test_update[CCBM Scheduling:Projected Date based on Required Buffer]","CCBM Scheduling","2026-01-03","failed","2026-01-03","Projected Date based on Required Buffer","edit","",""
"","29847","test_view[Project Mgr -> Project Status:Include Project Flow Trend]","Project Mgr -> Project Status","2026-01-05","passed","2026-01-05","Include Project Flow Trend","view","",""
"","30487","test_view[Common -> Column Names:Skill]","Common -> Column Names","2026-01-04","passed","2026-01-04","Skill","view","",""
"","81561","test_update[Advanced Concerto Enterprise Modules:Enable Subproject]","Advanced Concerto Enterprise Modules","2026-01-03","failed","2026-01-03","Enable Subproject","edit","",""
"","56287","test_update[Task Mgr -> Subtask List -> Search Columns for Task Table:TASKUNIQUEID]","Task Mgr -> Subtask List -> Search Columns for Task Table","2026-01-04","failed","2026-01-04","TASKUNIQUEID","edit","",""
"","82296","test_update[Common -> Filter Names:Work Card Status]","Common -> Filter Names","2026-01-03","passed","2026-01-03","Work Card Status","edit","",""
"","58632","test_view[Integration -> Primavera:HostName]","Integration -> Primavera","2026-01-04","passed","2026-01-04","HostName","view","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","46281","test_context_retention[Project Mgr -> Work Card Information:Work Card Status]","Project Mgr -> Work Card Information","2026-01-03","failed","2026-01-03","Work Card Status","context_retention","",""
"","25536","test_view[Project Mgr -> Pipeline View:Committed, In Queue]","Project Mgr -> Pipeline View","2026-01-04","passed","2026-01-04","Committed, In Queue","view","",""
"","19641","test_view[Metrics -> Issue Resolution:Display Average For Current Period]","Metrics -> Issue Resolution","2026-01-04","passed","2026-01-04","Display Average For Current Period","view","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","126620","test_context_retention[Metrics -> Throughput Drilldown:Hidden Fields]","Metrics -> Throughput Drilldown","2026-01-03","failed","2026-01-03","Hidden Fields","context_retention","",""
"","62908","test_view[Common -> Column Names:Parent Linked Task]","Common -> Column Names","2026-01-04","failed","2026-01-04","Parent Linked Task","view","",""
"","67930","test_view[Common -> Column Names:Task Text 60  (Custom Task Text Field)]","Common -> Column Names","2026-01-04","failed","2026-01-04","Task Text 60  (Custom Task Text Field)","view","",""
"","55379","test_view[Common -> Column Names:No Addl Delay Finish]","Common -> Column Names","2026-01-04","failed","2026-01-04","No Addl Delay Finish","view","",""
"","43371","test_view[Metrics -> Cycle Time Drilldown:Hidden Fields]","Metrics -> Cycle Time Drilldown","2026-01-04","failed","2026-01-04","Hidden Fields","view","",""
"","41243","test_update[Common -> Column Names:Task Text 43  (Custom Task Text Field)]","Common -> Column Names","2026-01-03","passed","2026-01-03","Task Text 43  (Custom Task Text Field)","edit","",""
"","129747","test_update[Common -> Column Names:Task Text 70  (Custom Task Text Field)]","Common -> Column Names","2026-01-03","failed","2026-01-03","Task Text 70  (Custom Task Text Field)","edit","",""
"","29165","test_view[Integration -> Subtask:Email Body]","Integration -> Subtask","2026-01-04","passed","2026-01-04","Email Body","view","",""
"","57608","test_view[Full Kit Mgr -> Full Kit Report:Hidden Fields (Print)]","Full Kit Mgr -> Full Kit Report","2026-01-04","passed","2026-01-04","Hidden Fields (Print)","view","",""
"","42597","test_view[Project Mgr -> Project Chain View/Project Penetrating Chain:Chain Type]","Project Mgr -> Project Chain View/Project Penetrating Chain","2026-01-04","passed","2026-01-04","Chain Type","view","",""
"","57020","test_update[Common -> Column Names:Past Weeks (%)]","Common -> Column Names","2026-01-03","failed","2026-01-03","Past Weeks (%)","edit","",""
"","31575","test_view[Common -> Filter Names:Custom Task Text4]","Common -> Filter Names","2026-01-04","passed","2026-01-04","Custom Task Text4","view","",""
"
    Test negative update queries for 2 randomly picked rows from the Excel sheet per sheet.
    Generates an invalid update command and expects the LLM to respond with an error or correction.
    ","129696","test_negative_update[Work Card Integration:Work Card Material]","Work Card Integration","2026-01-03","failed","2026-01-03","Work Card Material","negative_update","",""
"","57793","test_update[Planning Client -> Import Field Mapping:Text9]","Planning Client -> Import Field Mapping","2026-01-04","failed","2026-01-04","Text9","edit","",""
"","80103","test_view[Project Mgr -> Pipeline View:Show Managers Only in Project Mgr Filter]","Project Mgr -> Pipeline View","2026-01-04","failed","2026-01-04","Show Managers Only in Project Mgr Filter","view","",""
"","25445","test_view[Common -> Filter Names:Show Managers Only]","Common -> Filter Names","2026-01-04","passed","2026-01-04","Show Managers Only","view","",""
"","34666","test_view[Buffer Diagnostics -> Tasks Drilldown From TM/Resource/Task Desc:Sort Order]","Buffer Diagnostics -> Tasks Drilldown From TM/Resource/Task Desc","2026-01-04","failed","2026-01-04","Sort Order","view","",""
"","51717","test_update[Task List -> Task Mgr:Hidden Fields1]","Task List -> Task Mgr","2026-01-04","failed","2026-01-04","Hidden Fields","edit","",""
"","74113","test_view[Project Mgr -> Project Status:Show logged in user selected in the Project Manager Filter]","Project Mgr -> Project Status","2026-01-05","failed","2026-01-05","Show logged in user selected in the Project Manager Filter","view","",""
"","13862","test_view[Common -> Filter Names:Resources]","Common -> Filter Names","2026-01-04","passed","2026-01-04","Resources","view","",""
"","41963","test_update[Server:Scheduling mode]","Server","2026-01-04","passed","2026-01-04","Scheduling mode","edit","",""
"","53400","test_update[Buffer Diagnostics -> By Help Needed:Show Participants in TM list]","Buffer Diagnostics -> By Help Needed","2026-01-03","passed","2026-01-03","Show Participants in TM list","edit","",""
"","58579","test_update[Common, Task -> Task Incomplete Predecessors:Hidden Fields (Print)]","Common, Task -> Task Incomplete Predecessors","2026-01-04","failed","2026-01-04","Hidden Fields (Print)","edit","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","66942","test_context_retention[Resource Mgr -> Sand Chart:Default Horizon]","Resource Mgr -> Sand Chart","2026-01-03","failed","2026-01-03","Default Horizon","context_retention","",""
"","126892","test_update[Common -> Column Names:Task Text 74  (Custom Task Text Field)]","Common -> Column Names","2026-01-03","failed","2026-01-03","Task Text 74  (Custom Task Text Field)","edit","",""
"","61513","test_update[Metrics -> Cycle Time:Default Rolling Average Period (X periods in past)]","Metrics -> Cycle Time","2026-01-04","passed","2026-01-04","Default Rolling Average Period (X periods in past)","edit","",""
"","42713","test_view[Common -> Header Names:Document Links]","Common -> Header Names","2026-01-04","passed","2026-01-04","Document Links","view","",""
"","76583","test_update[Common -> Column Names:Occurrences]","Common -> Column Names","2026-01-03","passed","2026-01-03","Occurrences","edit","",""
"","95136","test_update[Planning Client -> Adv. Filter Field Mapping:Predecessors]","Planning Client -> Adv. Filter Field Mapping","2026-01-04","failed","2026-01-04","Predecessors","edit","",""
"","133350","test_update[Common -> Filter Names:Project Count]","Common -> Filter Names","2026-01-03","failed","2026-01-03","Project Count","edit","",""
"","36533","test_update[Common -> Filter Names:Time Intervals]","Common -> Filter Names","2026-01-03","passed","2026-01-03","Time Intervals","edit","",""
"","71706","test_view[DBR:Yellow Y intercept at 100 X]","DBR","2026-01-04","passed","2026-01-04","Yellow Y intercept at 100 X","view","",""
"","66452","test_view[Common, Checklist -> Task:Hidden Fields]","Common, Checklist -> Task","2026-01-04","failed","2026-01-04","Hidden Fields","view","",""
"","38823","test_view[Common -> Column Names:Original Due Date]","Common -> Column Names","2026-01-04","passed","2026-01-04","Original Due Date","view","",""
"","55567","test_view[Common -> Column Names:Internal Task Calendar]","Common -> Column Names","2026-01-04","passed","2026-01-04","Internal Task Calendar","view","",""
"","41769","test_view[Planning Client -> Adv. Filter Field Mapping:Task Text 34  (Custom Task Text Field)]","Planning Client -> Adv. Filter Field Mapping","2026-01-04","passed","2026-01-04","Task Text 34  (Custom Task Text Field)","view","",""
"","79178","test_update[Task Mgr -> Subtask List -> Search Columns for Task Table:EXEC_TASK_DESCRIPTION]","Task Mgr -> Subtask List -> Search Columns for Task Table","2026-01-04","failed","2026-01-04","EXEC_TASK_DESCRIPTION","edit","",""
"","59970","test_update[Project Mgr -> Task Level Priorities By Task Mgr:Use Optimized Filter Participant Query]","Project Mgr -> Task Level Priorities By Task Mgr","2026-01-03","passed","2026-01-03","Use Optimized Filter Participant Query","edit","",""
"","43544","test_update[Common -> Column Names:Phase Status]","Common -> Column Names","2026-01-03","passed","2026-01-03","Phase Status","edit","",""
"","23345","test_view[Planning Client -> Adv. Filter Field Mapping:Task]","Planning Client -> Adv. Filter Field Mapping","2026-01-04","passed","2026-01-04","Task","view","",""
"","24380","test_view[Common -> Column Names:Custom Date 2 Delay]","Common -> Column Names","2026-01-04","passed","2026-01-04","Custom Date 2 Delay","view","",""
"","43840","test_view[Project Mgr -> Milestone Report -> Search Columns for Milestone Report:CUSTOM_TASK_TEXT3]","Project Mgr -> Milestone Report -> Search Columns for Milestone Report","2026-01-05","failed","2026-01-05","CUSTOM_TASK_TEXT3","view","",""
"","73717","test_update[Planning Client -> Adv. Filter Field Mapping:Task Date 25  (Custom Task Date Field)]","Planning Client -> Adv. Filter Field Mapping","2026-01-04","failed","2026-01-04","Task Date 25  (Custom Task Date Field)","edit","",""
"","62934","test_update[DBR:Yellow Y intercept at 0 X]","DBR","2026-01-04","passed","2026-01-04","Yellow Y intercept at 0 X","edit","",""
"","35849","test_view[Common, Task -> Custom Task Text Fields Checklist:Text6]","Common, Task -> Custom Task Text Fields Checklist","2026-01-04","passed","2026-01-04","Text6","view","",""
"","62562","test_update[DBR:Red Y intercept at 0 X]","DBR","2026-01-04","passed","2026-01-04","Red Y intercept at 0 X","edit","",""
