"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66795","test_update[Project Mgr -> Project Status:Hidden Fields (Print)]","Project Mgr -> Project Status","2026-01-03","failed","2026-01-03","Hidden Fields (Print)","edit","",""
"","73984","test_update[Common -> Filter Names:Every Sunday]","Common -> Filter Names","2026-01-03","failed","2026-01-03","Every Sunday","edit","",""
"","79151","test_update[Common, Task -> Custom Subtask Text Fields:Custom Subtask Text Field 3]","Common, Task -> Custom Subtask Text Fields","2026-01-04","failed","2026-01-04","Custom Subtask Text Field 3","edit","",""
"","98356","test_update[Planning Client -> Adv. Filter Field Mapping:Duration(sh)]","Planning Client -> Adv. Filter Field Mapping","2026-01-04","failed","2026-01-04","Duration(sh)","edit","",""
"","58123","test_view[Project Mgr -> Project Status:Hidden Fields]","Project Mgr -> Project Status","2026-01-05","failed","2026-01-05","Hidden Fields","view","",""
"","121192","test_update[Common -> Filter Names:Days Delta Buff Cnsmd in NS Tasks]","Common -> Filter Names","2026-01-03","failed","2026-01-03","Days Delta Buff Cnsmd in NS Tasks","edit","",""
"","46481","test_view[Common -> Column Names:Original Target Date]","Common -> Column Names","2026-01-04","passed","2026-01-04","Original Target Date","view","",""
"","44963","test_view[Planning Client -> Adv. Filter Field Mapping:Task Text 55  (Custom Task Text Field)]","Planning Client -> Adv. Filter Field Mapping","2026-01-04","passed","2026-01-04","Task Text 55  (Custom Task Text Field)","view","",""
"","63355","test_view[Planning Client -> Table View CC mode:Column Order]","Planning Client -> Table View CC mode","2026-01-04","failed","2026-01-04","Column Order","view","",""
"","41877","test_update[Common -> Column Names:Status Fields (for Subtask)]","Common -> Column Names","2026-01-03","passed","2026-01-03","Status Fields (for Subtask)","edit","",""
"","73192","test_update[Task List -> Common:Last Update Fields]","Task List -> Common","2026-01-04","passed","2026-01-04","Last Update Fields","edit","",""
"","60549","test_update[Common -> Filter Names:4 Quarters]","Common -> Filter Names","2026-01-03","passed","2026-01-03","4 Quarters","edit","",""
"","45212","test_update[Common -> Filter Names:Status (Task Status)]","Common -> Filter Names","2026-01-03","passed","2026-01-03","Status (Task Status)","edit","",""
"","33389","test_update[Common -> Column Names:Milestone Penetration Status]","Common -> Column Names","2026-01-03","passed","2026-01-03","Milestone Penetration Status","edit","",""
"","16351","test_view[Planning Client -> Common:Feeding Buffers Policy]","Planning Client -> Common","2026-01-04","failed","2026-01-04","Feeding Buffers Policy","view","",""
"","84588","test_update[Project Mgr -> Pipeline View:Date Interval]","Project Mgr -> Pipeline View","2026-01-03","passed","2026-01-03","Date Interval","edit","",""
"","63248","test_view[Common -> Column Names:Full Kit Mgr]","Common -> Column Names","2026-01-04","passed","2026-01-04","Full Kit Mgr","view","",""
"","65732","test_update[Metrics -> Throughput:Subprojects]","Metrics -> Throughput","2026-01-04","passed","2026-01-04","Subprojects","edit","",""
"","71844","test_update[Common -> Column Names:Task Date 28  (Custom Task Date Field)]","Common -> Column Names","2026-01-03","failed","2026-01-03","Task Date 28  (Custom Task Date Field)","edit","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","103747","test_context_retention[Executive -> Action Items:Hidden Fields]","Executive -> Action Items","2026-01-03","failed","2026-01-03","Hidden Fields","context_retention","",""
"","48812","test_update[Common -> Column Names:Project Buffer Consumption (%)]","Common -> Column Names","2026-01-03","passed","2026-01-03","Project Buffer Consumption (%)","edit","",""
"","66022","test_update[DBR:DBR_ColorPriority0]","DBR","2026-01-04","passed","2026-01-04","DBR_ColorPriority0","edit","",""
"","38085","test_update[Executive -> Queues:Display Queues For Resources]","Executive -> Queues","2026-01-04","failed","2026-01-04","Display Queues For Resources","edit","",""
"","40503","test_view[Common -> Column Names:MS Project File Version]","Common -> Column Names","2026-01-04","passed","2026-01-04","MS Project File Version","view","",""
"","73493","test_update[Common -> Filter Names:Start Date]","Common -> Filter Names","2026-01-03","failed","2026-01-03","Start Date","edit","",""
"","46304","test_view[Metrics -> Throughput:Display Cumulative Data]","Metrics -> Throughput","2026-01-04","failed","2026-01-04","Display Cumulative Data","view","",""
"","24931","test_view[Common -> Filter Names:All Milestones]","Common -> Filter Names","2026-01-04","passed","2026-01-04","All Milestones","view","",""
"","67075","test_update[Common -> Column Names:Task Text 53  (Custom Task Text Field)]","Common -> Column Names","2026-01-03","passed","2026-01-03","Task Text 53  (Custom Task Text Field)","edit","",""
"
    Test to ensure non-admin users cannot edit configuration settings.
    This test is parametrized for 2 random rows per sheet.
    ","32486","test_edit_non_admin[Buffer Management:Generate data for Purchase Dates Integration during BM]","Buffer Management","2026-01-03","failed","2026-01-03","Generate data for Purchase Dates Integration during BM","edit_non_admin","",""
"
    Test negative update queries for 2 randomly picked rows from the Excel sheet per sheet.
    Generates an invalid update command and expects the LLM to respond with an error or correction.
    ","75001","test_negative_update[Project Mgr -> Project Status:Hidden Fields]","Project Mgr -> Project Status","2026-01-03","failed","2026-01-03","Hidden Fields","negative_update","",""
"","36224","test_view[Metrics -> Full Kit Delay:Filters Available]","Metrics -> Full Kit Delay","2026-01-04","failed","2026-01-04","Filters Available","view","",""
"","37724","test_update[Common -> Column Names:Priority]","Common -> Column Names","2026-01-03","failed","2026-01-03","Priority","edit","",""
"","60393","test_view[Metrics -> Buffering:In Process]","Metrics -> Buffering","2026-01-04","failed","2026-01-04","In Process","view","",""
"","66313","test_update[Common -> Column Names:New Due Date]","Common -> Column Names","2026-01-03","failed","2026-01-03","New Due Date","edit","",""
"","39391","test_view[Metrics -> Red Project Delay:Filters Available]","Metrics -> Red Project Delay","2026-01-04","failed","2026-01-04","Filters Available","view","",""
"","52165","test_view[Project Mgr -> Modify Projects:Complete]","Project Mgr -> Modify Projects","2026-01-04","passed","2026-01-04","Complete","view","",""
"","74899","test_update[Common -> Filter Names:12 Months]","Common -> Filter Names","2026-01-03","failed","2026-01-03","12 Months","edit","",""
"","64232","test_update[Planning Client -> Adv. Filter Field Mapping:Task Date 21  (Custom Task Date Field)]","Planning Client -> Adv. Filter Field Mapping","2026-01-04","failed","2026-01-04","Task Date 21  (Custom Task Date Field)","edit","",""
